what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004435688
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004475223
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004481902
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1242004512633
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004512649
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004514323
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004526235
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004531705
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1242004557938
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004557949
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004563122
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004567543
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004574198
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242004578328
stopped,bundle,org.eclipse.datatools.sqltools.sql,1.0.0.v200805152355,org.eclipse.datatools.sqltools.sql,1242004579012
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1242004579035
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1242004579037
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1242004579051
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.101.v20080620,org.eclipse.jst.server.tomcat.ui,1242004579078
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1242004579098
stopped,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1242004579127
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1242004579147
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1242004579172
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1242004579195
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.0.6.v200805152355,org.eclipse.datatools.connectivity.oda.template.ui,1242004579221
